Sample,variety,Genus,Abundance
KarstCh7,white,Unclassified Inocybaceae,1.102629346904156
KarstCh7,white,Unclassified Leotiomycetes,0.8905852417302799
KarstCh7,white,Unclassified Microascaceae,0
KarstCh7,white,Unclassified Mortierellaceae,1.4843087362171332
KarstCh7,white,Unclassified Nectriaceae,1.1874469889737065
KarstCh7,white,Unclassified Phanerochaetaceae,0
KarstCh7,white,Unclassified Pleosporales,2.5021204410517384
KarstCh7,white,Unclassified Russulaceae,2.7989821882951653
KarstCh7,white,Unclassified Saccharomycetales,0
KarstCh7,white,Unclassified Sordariomycetes,0
KarstCh7,white,Unclassified Teloschistaceae,2.035623409669211
KarstCh7,white,Unclassified Xylariaceae,0
KarstCh8,white,< 1%,28.351539225422044
KarstCh8,white,Acremonium,0.5461767626613704
KarstCh8,white,Arthrocladium,0
KarstCh8,white,Aspergillus,0
KarstCh8,white,Beauveria,0
KarstCh8,white,Bjerkandera,0
KarstCh8,white,Boothiomyces,0.14895729890764647
KarstCh8,white,Cadophora,1.0923535253227408
KarstCh8,white,Cerrena,0
KarstCh8,white,Chaetomium,2.135054617676266
KarstCh8,white,Cladosporium,5.114200595829196
KarstCh8,white,Clavaria,1.2413108242303872
KarstCh8,white,Clavulina,3.8728897715988087
KarstCh8,white,Conlarium,0.39721946375372397
KarstCh8,white,Cylindrium,0
KarstCh8,white,Delicatula,0
KarstCh8,white,Funalia,0
KarstCh8,white,Fusarium,1.837140019860973
KarstCh8,white,Hygrocybe,2.1847070506454815
KarstCh8,white,Inocybe,0.6951340615690169
KarstCh8,white,Lactifluus,1.0427010923535254
KarstCh8,white,Lentinus,0
KarstCh8,white,Leotia,0
KarstCh8,white,Malbranchea,0
KarstCh8,white,Metarhizium,3.922542204568024
KarstCh8,white,Mortierella,6.007944389275075
KarstCh8,white,Mycena,0.3475670307845084
KarstCh8,white,Nigrospora,0.24826216484607747
KarstCh8,white,Penicillium,0.5461767626613704
KarstCh8,white,Plectosphaerella,7.696127110228401
KarstCh8,white,Polyscytalum,0
KarstCh8,white,Pseudoveronaea,0
KarstCh8,white,Russula,0
KarstCh8,white,Sarcinomyces,1.1420059582919562
KarstCh8,white,Sebacina,1.3406156901688182
KarstCh8,white,Seychellomyces,1.5888778550148956
KarstCh8,white,Sphaceloma,0
KarstCh8,white,Sphaerosporella,0
KarstCh8,white,Trechispora,1.0923535253227408
KarstCh8,white,Trichoderma,0.8440913604766633
KarstCh8,white,Trichoglossum,2.9791459781529297
KarstCh8,white,Tuber,0.6454816285998014
KarstCh8,white,Unclassified Agaricaceae,0
KarstCh8,white,Unclassified Agaricales,2.6812313803376364
KarstCh8,white,Unclassified Agaricomycetes,1.8867924528301885
KarstCh8,white,Unclassified Ascomycota,0.7944389275074478
KarstCh8,white,Unclassified Basidiomycota,3.128103277060576
KarstCh8,white,Unclassified Capnodiales,0
KarstCh8,white,Unclassified Chaetothyriales,0.24826216484607747
KarstCh8,white,Unclassified Cordycipitaceae,0
KarstCh8,white,Unclassified Eurotiales,0
KarstCh8,white,Unclassified Helotiales,0.34756703078450846
KarstCh8,white,Unclassified Hypocreales,0.24826216484607747
KarstCh8,white,Unclassified Hysteriaceae,0
KarstCh8,white,Unclassified Inocybaceae,0
KarstCh8,white,Unclassified Leotiomycetes,0
KarstCh8,white,Unclassified Microascaceae,0
KarstCh8,white,Unclassified Mortierellaceae,5.660377358490567
KarstCh8,white,Unclassified Nectriaceae,5.6107249255213505
KarstCh8,white,Unclassified Phanerochaetaceae,0
KarstCh8,white,Unclassified Pleosporales,0.5958291956305859
KarstCh8,white,Unclassified Russulaceae,0.14895729890764647
KarstCh8,white,Unclassified Saccharomycetales,0
KarstCh8,white,Unclassified Sordariomycetes,0.14895729890764647
KarstCh8,white,Unclassified Teloschistaceae,1.4399205561072492
KarstCh8,white,Unclassified Xylariaceae,0
