# Constructed from biom file
#OTU ID	KarstCh1	KarstCh2	KarstCh3	KarstCh4	KarstCh5	KarstCh6	KarstCh7	KarstCh8
3bc415e60c057b9ee9ec05beab58bbc9	0.0	81.0	0.0	0.0	29.0	14.0	0.0	0.0
184fe3f5e8f3303daa1ec86245d313f0	6.0	0.0	6.0	8.0	11.0	43.0	42.0	7.0
1c646455d81842766c2fab0a965fa9c7	0.0	0.0	0.0	32.0	0.0	36.0	30.0	25.0
9983e12bf72728e3c7f467bf2e65f000	19.0	26.0	48.0	25.0	0.0	0.0	0.0	0.0
90f58ba1df5912d90ef84d316fc98bad	27.0	31.0	41.0	0.0	0.0	18.0	0.0	0.0
fc8aec564fec1259df1871cec60a3de7	24.0	32.0	36.0	25.0	0.0	0.0	0.0	0.0
90897a20c5baec5fd6cfd9cb80d17cbe	0.0	0.0	0.0	0.0	28.0	36.0	40.0	12.0
ecde4e93759fb1cd02cfd2b3d68ab5bd	19.0	28.0	45.0	23.0	0.0	0.0	0.0	0.0
5f26a4c65d105d90204c6fb821442d38	0.0	0.0	0.0	0.0	0.0	0.0	114.0	0.0
2cfbe2bd30e6e510b00ed98259a1477c	0.0	35.0	0.0	0.0	78.0	0.0	0.0	0.0
9939a9b7f966dccad1b69cc776a90af3	13.0	27.0	31.0	14.0	6.0	4.0	8.0	9.0
526dd4a82c03b681401874fa8094e66c	0.0	0.0	0.0	26.0	19.0	20.0	18.0	29.0
63fb59dc138448d0cad3000f1397fb62	0.0	12.0	6.0	0.0	84.0	6.0	0.0	0.0
27f0ca34286af051a64deb44bf996e05	0.0	93.0	7.0	0.0	0.0	0.0	7.0	0.0
4638354ab2a9add41916214055522abb	14.0	18.0	8.0	4.0	20.0	16.0	0.0	22.0
0eb4abb4ba23db82d8bffb20f01d57f9	0.0	12.0	15.0	12.0	12.0	16.0	15.0	15.0
3c58d61447362a65732f960be7051cfa	79.0	9.0	8.0	0.0	0.0	0.0	0.0	0.0
25c5da7e715d5b350620e3654252b7a5	7.0	8.0	9.0	13.0	6.0	15.0	20.0	17.0
d1e164a4d70bc3ca00c715af39fcc75d	0.0	0.0	0.0	0.0	92.0	0.0	0.0	0.0
dc5ea6bcdfe59a8c67fca80a83cd37ca	11.0	26.0	4.0	0.0	0.0	0.0	0.0	50.0
e950051b5efeab1e3d4e5abfa3746274	0.0	16.0	13.0	0.0	11.0	11.0	12.0	26.0
5cd66b3da51f4207a3172b9106c2ecd0	0.0	0.0	0.0	0.0	0.0	64.0	25.0	0.0
